Tick,Acc_FP32,Acc_INT8
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.1,0.1
4,4.3,4.2
5,15.0,15.6
6,32.4,32.6
7,47.9,48.6
8,61.5,62.1
9,70.3,70.7
10,74.0,74.7
11,77.10000000000001,77.5
12,78.7,79.3
13,79.4,80.0
14,79.80000000000001,80.7
15,79.9,81.0
16,80.10000000000001,81.10000000000001
17,80.2,81.2
18,80.2,81.2
19,80.2,81.2
20,80.30000000000001,81.3
21,80.30000000000001,81.3
22,80.30000000000001,81.3
23,80.30000000000001,81.3
24,80.30000000000001,81.3
25,80.30000000000001,81.3
26,80.30000000000001,81.3
27,80.30000000000001,81.3
28,80.30000000000001,81.3
29,80.30000000000001,81.3
30,80.30000000000001,81.3
31,80.30000000000001,81.3
32,80.30000000000001,81.3
33,80.30000000000001,81.3
34,80.30000000000001,81.3
35,80.30000000000001,81.3
36,80.30000000000001,81.3
37,80.30000000000001,81.3
38,80.30000000000001,81.3
39,80.30000000000001,81.3
40,80.30000000000001,81.3
41,80.30000000000001,81.3
42,80.30000000000001,81.3
43,80.30000000000001,81.3
44,80.30000000000001,81.3
45,80.30000000000001,81.3
46,80.30000000000001,81.3
47,80.30000000000001,81.3
48,80.30000000000001,81.3
49,80.30000000000001,81.3
50,80.30000000000001,81.3
51,80.30000000000001,81.3
52,80.30000000000001,81.3
53,80.30000000000001,81.3
54,80.30000000000001,81.3
55,80.30000000000001,81.3
56,80.30000000000001,81.3
57,80.30000000000001,81.3
58,80.30000000000001,81.3
59,80.30000000000001,81.3
60,80.30000000000001,81.3
61,80.30000000000001,81.3
62,80.30000000000001,81.3
63,80.30000000000001,81.3
