Index,FP32_Value,INT8_Value
45384,0.034364823,2.0
97538,-0.032055736,-2.0
94118,-0.13210465,-8.0
77045,-0.14719285,-9.0
92499,0.10772401,7.0
60477,0.0779851,5.0
76487,-0.05588588,-4.0
14638,-0.06046003,-4.0
33135,0.24930516,16.0
67553,0.008320917,1.0
86501,-0.21873195,-14.0
52133,0.15316986,10.0
96712,-0.015521568,-1.0
81868,-0.3109565,-20.0
73306,-0.02292689,-1.0
99289,0.0026750013,0.0
62124,0.028703958,2.0
15713,-0.049270142,-3.0
22211,0.25042915,16.0
69929,0.055200126,4.0
80924,0.23498279,15.0
47039,-0.02447489,-2.0
89089,-0.12665385,-8.0
27078,0.02335443,1.0
93773,-0.0974955,-6.0
99790,0.018939056,1.0
33821,0.008732532,1.0
37202,-0.012908214,-1.0
77010,-0.12047738,-8.0
48119,-0.29757687,-19.0
7749,0.06491914,4.0
19590,0.12569438,8.0
97094,-0.06625203,-4.0
34683,-0.046097998,-3.0
32378,0.008763423,1.0
17834,0.057087954,4.0
53417,-0.08174088,-5.0
8689,0.10586209,7.0
45424,0.23603839,15.0
78542,0.10421944,7.0
90360,0.060818896,4.0
44400,-0.014088669,-1.0
73832,-0.032073386,-2.0
64612,0.14077541,9.0
6700,-0.025492394,-2.0
37940,0.102934524,7.0
86081,-0.103480406,-7.0
55573,-0.15028052,-10.0
75554,-0.022967264,-1.0
54764,0.018958567,1.0
95286,-0.10919828,-7.0
23536,0.031293392,2.0
19616,-0.025738414,-2.0
57925,0.17607217,11.0
27588,-0.11092435,-7.0
87889,0.07059413,5.0
92632,0.14964531,10.0
63386,0.50349736,32.0
35273,0.12690614,8.0
7663,0.04668289,3.0
99050,-0.04366943,-3.0
4573,-0.019841991,-1.0
45134,0.14588122,9.0
24839,0.23281066,15.0
74659,0.0015418316,0.0
60576,0.050350197,3.0
87935,-0.10814437,-7.0
24118,0.031863943,2.0
67630,-0.08408481,-5.0
97425,-0.008875053,-1.0
37047,0.040648542,3.0
34023,-0.00610206,-0.0
52804,-0.031201178,-2.0
56664,-0.11519526,-7.0
54485,-0.075339906,-5.0
68072,0.04468747,3.0
25759,0.0060617714,0.0
32131,0.25481173,16.0
92510,0.029571244,2.0
66883,0.12442502,8.0
74105,-0.043563172,-3.0
18388,-0.027693326,-2.0
72245,-0.10751295,-7.0
42962,0.13784567,9.0
47775,-0.15033619,-10.0
77995,0.07209193,5.0
59999,-0.05452848,-3.0
10869,0.037295707,2.0
61951,0.060467783,4.0
2793,-0.047743775,-3.0
31895,-0.032757156,-2.0
96729,-0.207727,-13.0
79697,-0.05193338,-3.0
88306,-0.12891392,-8.0
35874,0.08700976,6.0
11480,0.14147002,9.0
9070,-0.01355745,-1.0
4887,0.024915356,2.0
14212,-0.20156673,-13.0
5290,-0.03074964,-2.0
17158,-0.07102815,-5.0
10317,0.09332975,6.0
20786,0.15838201,10.0
3823,-0.097301364,-6.0
59682,0.00618342,0.0
76207,-0.00022087977,-0.0
78349,-0.13359639,-9.0
51191,0.027965326,2.0
5242,-0.07906347,-5.0
59104,0.4566401,29.0
43052,-0.10045172,-6.0
22756,0.011088232,1.0
57722,-0.111528195,-7.0
35303,0.0054596965,0.0
22337,-0.026282292,-2.0
29342,0.24628532,16.0
43037,0.016414572,1.0
71653,0.12198367,8.0
14422,0.26412016,17.0
91648,0.19768949,13.0
54657,0.023033818,1.0
85038,-0.02197903,-1.0
97976,0.02929755,2.0
2227,0.2232714,14.0
41241,0.23458222,15.0
73068,-0.0017403442,-0.0
99831,0.1379799,9.0
32383,-0.06827867,-4.0
52632,0.039634377,3.0
75373,-0.002908844,-0.0
63846,-0.33487722,-21.0
85678,-0.10931781,-7.0
80853,0.030187,2.0
93180,0.39628762,25.0
9662,0.10540665,7.0
20542,-0.057941724,-4.0
79951,-0.07888471,-5.0
82725,0.07429707,5.0
58433,-0.006961294,-0.0
46292,-0.077087246,-5.0
65200,-0.06755251,-4.0
70840,-0.008940331,-1.0
54237,0.013601636,1.0
5490,-0.034009125,-2.0
13841,-0.10422317,-7.0
25115,0.00151085,0.0
38755,0.026459422,2.0
72622,0.13675433,9.0
83118,-0.032278948,-2.0
73504,-0.00480161,-0.0
94201,0.12779295,8.0
91966,0.2798336,18.0
65959,0.006997509,0.0
49574,-0.0371694,-2.0
74976,-0.085182145,-5.0
83229,0.12465245,8.0
96692,-0.051282715,-3.0
17598,0.19499405,12.0
40474,-0.16464221,-11.0
1229,0.02433081,2.0
18988,-0.047442276,-3.0
29692,0.24176785,15.0
15749,-0.024434078,-2.0
57885,0.12027118,8.0
32502,-0.027664464,-2.0
57599,-0.053159177,-3.0
32160,-0.0025093174,-0.0
80545,0.057005942,4.0
17894,0.03702732,2.0
83190,0.07112753,5.0
25756,-0.1382438,-9.0
96193,0.0029128827,0.0
33463,0.13391483,9.0
67605,0.03314796,2.0
90614,-0.26714316,-17.0
41999,0.043914035,3.0
64198,-0.1307783,-8.0
73553,-0.026934067,-2.0
95330,-0.04282926,-3.0
48223,0.2285593,15.0
99536,-0.029796477,-2.0
32329,-0.0569656,-4.0
45567,-0.44863433,-29.0
30040,0.01316378,1.0
35704,-0.07468877,-5.0
61968,-0.010118532,-1.0
36775,-0.07485678,-5.0
80815,0.10360117,7.0
57615,-0.022513289,-1.0
17651,-0.042730436,-3.0
2098,-0.07347055,-5.0
16562,-0.08360511,-5.0
13766,-0.20386809,-13.0
49301,0.2803718,18.0
48855,0.08024316,5.0
98307,0.08152378,5.0
40492,0.27932486,18.0
6920,0.03931673,3.0
24891,0.09489378,6.0
85304,-0.17268491,-11.0
5167,-0.18268053,-12.0
71746,-0.0054352493,-0.0
55693,-0.0068219393,-0.0
52085,-0.18047646,-12.0
13603,-0.17967403,-11.0
2206,-0.017306693,-1.0
39245,0.050105184,3.0
53960,-0.13962193,-9.0
14117,0.034448873,2.0
43189,0.15971841,10.0
96220,0.03832133,2.0
39019,0.09236107,6.0
73719,-0.009444233,-1.0
9949,-0.12363312,-8.0
79850,-0.09744836,-6.0
38877,0.06546308,4.0
57853,0.12794654,8.0
31953,-0.07744253,-5.0
38230,-0.1532952,-10.0
21733,0.0020337172,0.0
3761,-0.21454376,-14.0
6085,0.0019273472,0.0
98949,-0.032491393,-2.0
95149,0.065419756,4.0
8159,0.10086996,6.0
78451,0.11336799,7.0
95348,-0.17254844,-11.0
55054,-0.21038784,-13.0
76195,-0.0929623,-6.0
73438,-0.025481435,-2.0
22824,-0.05556669,-4.0
20034,-0.16215546,-10.0
93576,-0.06727316,-4.0
20918,-0.0173983,-1.0
29707,0.0026567494,0.0
76066,-0.009814476,-1.0
53384,-0.20375133,-13.0
29844,0.01667127,1.0
22103,-0.12603879,-8.0
79843,0.00022842233,0.0
77785,0.02832001,2.0
83835,-0.06372705,-4.0
45869,0.065350614,4.0
35198,-0.029419314,-2.0
60931,0.16856296,11.0
62443,0.15324827,10.0
89676,-0.02597522,-2.0
32873,-0.016219817,-1.0
87490,0.1805766,12.0
24894,0.19060278,12.0
77550,-0.07213139,-5.0
14915,0.032611877,2.0
15446,-0.10811655,-7.0
1823,0.05066754,3.0
34857,-0.14145927,-9.0
61270,0.06182509,4.0
52771,-0.0064265514,-0.0
48928,-0.06257903,-4.0
77267,0.14351705,9.0
1119,-0.025519019,-2.0
28758,0.04477238,3.0
9673,-0.24130495,-15.0
47541,-0.37030756,-24.0
67931,0.046329387,3.0
53213,0.03554933,2.0
67753,-0.08017232,-5.0
87823,0.067818336,4.0
36611,0.35181782,23.0
79588,-0.0136153465,-1.0
54907,0.00016716549,0.0
20071,0.2401334,15.0
25421,-0.14988798,-10.0
36757,0.008055732,1.0
51408,0.022215474,1.0
90011,0.016912377,1.0
62515,-0.06499509,-4.0
68821,-0.03981973,-3.0
81222,0.16237864,10.0
94934,-0.14625919,-9.0
32819,-0.08445544,-5.0
77460,-0.06486599,-4.0
34914,0.050029308,3.0
50982,-0.0028693336,-0.0
15557,0.108831935,7.0
18624,0.30848196,20.0
31647,0.060807656,4.0
68349,-0.018549401,-1.0
55139,0.10373015,7.0
7812,-0.028025215,-2.0
57139,0.084984675,5.0
77772,0.084977485,5.0
96636,-0.056063876,-4.0
44719,0.03399853,2.0
52090,-0.310363,-20.0
3,-0.008861738,-1.0
26804,-0.038216293,-2.0
57641,-0.10449258,-7.0
19889,-0.105131485,-7.0
12293,-0.06828819,-4.0
53654,0.16033728,10.0
61241,0.11164714,7.0
58248,0.11214676,7.0
77390,0.06320702,4.0
6417,-0.12163799,-8.0
6812,-0.12796862,-8.0
40520,0.30920297,20.0
55485,0.035201214,2.0
100146,0.05928727,4.0
59802,0.13407116,9.0
13689,-0.13940752,-9.0
93969,-0.029655011,-2.0
35170,0.001740546,0.0
35184,-0.11515604,-7.0
5930,0.033382572,2.0
4757,0.020958224,1.0
13086,0.069263406,4.0
78485,0.00760795,0.0
6962,0.12750019,8.0
73030,-0.0045234477,-0.0
2856,0.029750314,2.0
18032,0.010406963,1.0
85108,0.10236058,7.0
46636,-0.019367509,-1.0
10120,0.00022300411,0.0
98242,0.18082358,12.0
24583,0.277047,18.0
3591,-0.029199267,-2.0
44917,-0.14135446,-9.0
85963,0.2016206,13.0
89091,-0.14493853,-9.0
33493,0.09604455,6.0
91904,0.06304211,4.0
61828,0.26674867,17.0
64096,0.09252909,6.0
42786,0.124958284,8.0
61388,0.012515142,1.0
93426,0.10079125,6.0
41604,0.011823757,1.0
97842,-0.008643549,-1.0
60070,-0.25121716,-16.0
65389,-0.009635551,-1.0
59001,-0.09803284,-6.0
80875,0.17966695,11.0
48867,0.010082198,1.0
94050,-0.014519079,-1.0
78667,-0.12618326,-8.0
73999,-0.018516414,-1.0
46104,0.032188084,2.0
90542,-0.05795133,-4.0
54303,-0.036783375,-2.0
11833,-0.18288189,-12.0
73357,0.0034746323,0.0
53023,-0.025535703,-2.0
89026,-0.12875968,-8.0
55883,0.020841505,1.0
77205,0.08807817,6.0
93185,0.00034712043,0.0
13134,0.04296756,3.0
95615,0.029603185,2.0
40680,-0.021004671,-1.0
59524,-0.014101091,-1.0
56301,-0.039320145,-3.0
60794,0.11692889,7.0
60422,-0.024157355,-2.0
100118,0.06309034,4.0
78086,-0.03679908,-2.0
12724,0.046567865,3.0
6574,-0.1144056,-7.0
37153,-0.24367657,-16.0
10524,0.34968582,22.0
69223,0.023542784,2.0
70359,-0.034313597,-2.0
21895,-0.009488175,-1.0
49623,0.094408564,6.0
53409,-0.10458747,-7.0
41014,0.17439178,11.0
43055,-0.14259832,-9.0
36400,0.08456829,5.0
31477,0.12434289,8.0
31067,-0.085255556,-5.0
51506,0.022177778,1.0
86354,-0.06864578,-4.0
64675,0.37585014,24.0
60371,-0.03334298,-2.0
65139,-0.061567582,-4.0
2338,-0.086806916,-6.0
91459,-0.17376271,-11.0
7766,0.022988165,1.0
81981,-0.11586689,-7.0
42878,0.041399002,3.0
58289,0.17840528,11.0
24741,-0.12069843,-8.0
4442,0.009689587,1.0
41637,0.0028662386,0.0
70069,0.3313115,21.0
4769,-0.102887414,-7.0
63523,-0.0134743415,-1.0
86781,0.04169027,3.0
38602,0.13917227,9.0
35179,0.117027864,7.0
6111,-0.36752993,-24.0
68646,-0.08717965,-6.0
83605,-0.2571702,-16.0
84820,-0.18305269,-12.0
98669,0.107185796,7.0
96996,-0.026935237,-2.0
57005,0.055008333,4.0
72237,-0.18121918,-12.0
61351,0.061811753,4.0
4619,-0.0074297534,-0.0
32778,0.10913012,7.0
52932,-0.006592817,-0.0
1459,-0.13652897,-9.0
8502,-0.19625355,-13.0
80669,0.01222252,1.0
88890,0.18207672,12.0
86031,-0.07965024,-5.0
